Datetime,PJME_MW,Log_MW,Log_Diff,Log_Diff_Monthly,day_of_week,month,year,is_weekend,is_holiday,lag_1,lag_7,lag_30,roll_mean_7,roll_std_7
2002-02-01,29662.875,10.297651542889138,-0.0237510722196319,-0.1211862563680377,4,2,2002,0,0,30375.83333333333,30183.83333333333,34261.541666666664,28835.976190476187,1221.9765414039011
2002-02-02,28647.08333333333,10.262806913586516,-0.0348446293026221,-0.0421246061036626,5,2,2002,1,0,29662.875,28076.666666666668,34511.875,28917.464285714283,1181.2428057856164
2002-02-03,28598.75,10.26111828955909,-0.0016886240274267,0.0216584072453152,6,2,2002,1,0,28647.08333333333,26645.58333333333,33715.458333333336,29196.488095238095,679.1125492729866
2002-02-04,32563.666666666668,10.390952426388765,0.1298341368296753,0.2331793935390216,0,2,2002,0,0,28598.75,29487.83333333333,30405.125,29635.89285714285,1453.0793049082124
2002-02-05,34954.208333333336,10.46179415052292,0.0708417241341567,0.07352716625563,1,2,2002,0,0,32563.666666666668,29028.20833333333,30323.58333333333,30482.464285714286,2434.7160524453475
2002-02-06,32970.041666666664,10.403354599840128,-0.0584395506827934,-0.1530867102822011,2,2,2002,0,0,34954.208333333336,28574.83333333333,33333.833333333336,31110.351190476187,2427.493397030287
2002-02-07,32225.08333333333,10.380500413788011,-0.0228541860521165,-0.0532592678839201,3,2,2002,0,0,32970.041666666664,30375.83333333333,34362.916666666664,31374.529761904763,2434.848530552316
2002-02-08,30829.666666666668,10.336232708842072,-0.0442677049459394,-0.0270451514706788,4,2,2002,0,0,32225.08333333333,29662.875,33776.166666666664,31541.214285714286,2336.0776191319264
2002-02-09,27723.416666666668,10.230032702081653,-0.1062000067604191,-0.0355282795274263,5,2,2002,1,0,30829.666666666668,28647.08333333333,31471.541666666668,31409.2619047619,2543.6606341470983
2002-02-10,26787.541666666668,10.195692195232482,-0.0343405068491708,-0.0175503753072163,6,2,2002,1,0,27723.416666666668,28598.75,30947.541666666668,31150.51785714286,2938.648724255772
2002-02-11,30866.5,10.337426732383548,0.1417345371510663,0.2252869733393403,0,2,2002,0,0,26787.541666666668,32563.666666666668,28466.875,30908.065476190477,2871.8789561751964
2002-02-12,32908.625,10.401490060450756,0.064063328067208,0.0787148216994744,1,2,2002,0,0,30866.5,34954.208333333336,28052.83333333333,30615.839285714286,2467.0943029073323
2002-02-13,31965.166666666668,10.37240204722342,-0.0290880132273372,-0.1482491106132197,2,2,2002,0,0,32908.625,32970.041666666664,31602.95833333333,30472.285714285714,2332.86261675949
2002-02-14,33175.625,10.409570698510514,0.0371686512870947,0.0492390280034129,3,2,2002,0,0,31965.166666666668,32225.08333333333,31223.791666666668,30608.077380952385,2475.2156840444577
2002-02-15,31664.70833333333,10.362958037897004,-0.0466126606135102,-0.0714728468673229,4,2,2002,0,0,33175.625,30829.666666666668,32009.75,30727.36904761905,2507.5854834571883
2002-02-16,26852.08333333333,10.19809868848498,-0.1648593494120245,-0.1608381751416363,5,2,2002,1,0,31664.70833333333,27723.416666666668,31881.291666666668,30602.89285714286,2696.094674012166
2002-02-17,26883.25,10.19925869506643,0.0011600065814505,-0.0039032755731014,6,2,2002,1,0,26852.08333333333,26787.541666666668,32043.125,30616.565476190473,2673.6706554181605
2002-02-18,30929.125,10.339453575592566,0.1401948805261366,0.1438463667033911,0,2,2002,0,1,26883.25,30866.5,31926.33333333333,30625.5119047619,2674.7509093218355
